trial,step,mean_ep_reward
0,80,4.0
0,10000,13.89
0,20000,37.85
0,30000,70.38
0,40000,85.04
0,50000,112.82
0,60000,139.91
0,70000,191.93
0,80000,235.6
0,90000,300.45
0,100000,352.56
0,110000,395.93
0,120000,444.71
0,130000,462.6
0,140000,472.76
0,150000,476.3
0,160000,483.15
0,170000,484.52
0,180000,487.5
0,190000,487.5
0,200000,491.8
0,210000,494.33
0,220000,497.34
0,230000,500.0
0,240000,500.0
0,250000,500.0
1,80,4.0
1,10000,27.85
1,20000,74.96
1,30000,121.78
1,40000,204.07
1,50000,304.32
1,60000,372.99
1,70000,446.12
1,80000,497.08
1,90000,500.0
1,100000,500.0
1,110000,500.0
1,120000,500.0
1,130000,500.0
1,140000,500.0
1,150000,500.0
1,160000,500.0
1,170000,500.0
1,180000,500.0
1,190000,500.0
1,200000,500.0
1,210000,500.0
1,220000,500.0
1,230000,500.0
1,240000,500.0
1,250000,500.0
2,64,3.0
2,10000,14.01
2,20000,47.02
2,30000,78.99
2,40000,108.21
2,50000,146.51
2,60000,223.26
2,70000,309.72
2,80000,387.69
2,90000,443.29
2,100000,498.66
2,110000,500.0
2,120000,500.0
2,130000,500.0
2,140000,500.0
2,150000,500.0
2,160000,500.0
2,170000,500.0
2,180000,500.0
2,190000,500.0
2,200000,500.0
2,210000,500.0
2,220000,500.0
2,230000,500.0
2,240000,500.0
2,250000,500.0
3,80,4.0
3,10000,9.65
3,20000,19.54
3,30000,45.19
3,40000,58.48
3,50000,77.95
3,60000,88.51
3,70000,109.23
3,80000,132.87
3,90000,159.16
3,100000,196.98
3,110000,252.12
3,120000,313.13
3,130000,390.48
3,140000,432.15
3,150000,453.76
3,160000,472.26
3,170000,472.48
3,180000,472.21
3,190000,480.78
3,200000,494.53
3,210000,492.01
3,220000,491.45
3,230000,492.76
3,240000,496.2
3,250000,496.2
