trial,step,mean_ep_reward
0,8016,288.19
0,10000,288.19
0,20000,281.91
0,30000,272.83
0,40000,269.12
0,50000,243.82
0,60000,230.1
0,70000,230.18
0,80000,258.9
0,90000,273.48
0,100000,292.12
0,110000,334.68
0,120000,368.12
0,130000,379.47
0,140000,391.62
0,150000,426.95
0,160000,444.97
0,170000,463.72
0,180000,464.01
0,190000,474.74
0,200000,466.73
0,210000,467.21
0,220000,462.13
0,230000,463.18
0,240000,457.35
0,250000,452.02
1,6256,194.06
1,10000,194.06
1,20000,246.28
1,30000,276.06
1,40000,306.51
1,50000,334.23
1,60000,364.79
1,70000,392.29
1,80000,439.21
1,90000,460.71
1,100000,468.51
1,110000,480.67
1,120000,489.54
1,130000,494.8
1,140000,490.33
1,150000,490.33
1,160000,493.03
1,170000,489.04
1,180000,488.18
1,190000,491.02
1,200000,481.16
1,210000,474.32
1,220000,475.71
1,230000,463.94
1,240000,467.1
1,250000,466.29
2,8016,209.19
2,10000,209.19
2,20000,222.16
2,30000,198.44
2,40000,182.85
2,50000,228.4
2,60000,229.15
2,70000,256.51
2,80000,277.94
2,90000,334.33
2,100000,317.73
2,110000,342.57
2,120000,360.71
2,130000,404.9
2,140000,414.17
2,150000,430.9
2,160000,452.18
2,170000,458.2
2,180000,465.44
2,190000,465.44
2,200000,472.03
2,210000,481.36
2,220000,488.35
2,230000,487.76
2,240000,484.14
2,250000,487.2
3,8016,255.62
3,10000,255.62
3,20000,234.47
3,30000,278.62
3,40000,293.98
3,50000,298.4
3,60000,309.73
3,70000,336.69
3,80000,330.91
3,90000,368.18
3,100000,377.97
3,110000,396.99
3,120000,409.29
3,130000,428.54
3,140000,430.63
3,150000,441.86
3,160000,438.68
3,170000,452.4
3,180000,463.5
3,190000,465.16
3,200000,465.16
3,210000,474.11
3,220000,473.61
3,230000,477.15
3,240000,483.05
3,250000,492.65
