trial,step,mean_ep_reward
0,8,0.0
0,16000,37.35
0,32000,90.49
0,48000,149.61
0,64000,198.91
0,80000,249.85
0,96000,305.61
0,112000,314.19
0,128000,311.26
0,144000,265.07
0,160000,247.49
0,176000,305.66
0,192000,334.83
0,208000,349.34
0,224000,367.56
0,240000,355.13
0,256000,348.18
0,272000,340.28
0,288000,356.54
0,304000,359.69
0,320000,352.0
0,336000,375.18
0,352000,388.71
0,368000,360.36
0,384000,340.52
0,400000,357.79
1,8,0.0
1,16000,59.71
1,32000,181.81
1,48000,258.66
1,64000,256.37
1,80000,240.41
1,96000,213.7
1,112000,221.66
1,128000,244.08
1,144000,256.93
1,160000,255.71
1,176000,276.88
1,192000,195.82
1,208000,224.16
1,224000,243.29
1,240000,222.45
1,256000,233.78
1,272000,191.18
1,288000,182.12
1,304000,209.11
1,320000,231.41
1,336000,257.77
1,352000,230.28
1,368000,260.0
1,384000,227.59
1,400000,188.53
2,8,0.0
2,16000,51.5
2,32000,150.17
2,48000,213.23
2,64000,305.5
2,80000,346.22
2,96000,323.57
2,112000,295.81
2,128000,321.07
2,144000,332.9
2,160000,369.71
2,176000,362.7
2,192000,325.66
2,208000,316.23
2,224000,358.37
2,240000,359.84
2,256000,353.08
2,272000,349.63
2,288000,349.9
2,304000,359.58
2,320000,339.01
2,336000,331.29
2,352000,340.99
2,368000,360.55
2,384000,351.66
2,400000,376.37
3,8,0.0
3,16000,28.91
3,32000,75.72
3,48000,106.17
3,64000,182.65
3,80000,214.12
3,96000,268.35
3,112000,278.59
3,128000,292.23
3,144000,295.21
3,160000,303.33
3,176000,339.17
3,192000,363.22
3,208000,371.37
3,224000,374.77
3,240000,375.14
3,256000,371.34
3,272000,353.64
3,288000,350.7
3,304000,378.86
3,320000,371.51
3,336000,377.21
3,352000,372.52
3,368000,354.15
3,384000,332.26
3,400000,357.05
